Title SWINGIN1
Length 31
voices 3
Tempo 240
Orders 1B 1C 19 19 17 18 00 01 02 03 04 05 06 07 10 08 09 0A 0B 0C 0D 0E 0F 11 12 13 14 11 12 13 1D 1E 

Order 1B

00 | F#2 ... | E-3 110 | E-7 F06
02 | D#4 ... | G#4 ... | B-4 F03
03 | ... ... | ... ... | ... ...
04 | G#5 ... | G#2 208 | === F05
05 | === ... | G#1 ... | ... ...
06 | D#5 ... | ... ... | ... F03
07 | === ... | === ... | ... ...
08 | G#4 ... | C-4 220 | ... F05
09 | === ... | ... 220 | === ...
0A | D#4 ... | G#4 ... | B-4 F03
0B | ... ... | ... ... | ... ...
0C | G#5 ... | === ... | === F05
0D | === ... | ... ... | ... ...
0E | D#4 ... | G#4 ... | B-4 F03
0F | ... ... | ... ... | ... ...
10 | D#5 ... | F-3 220 | === F05
11 | === ... | C-1 320 | ... ...
12 | G#4 ... | === ... | ... F03
13 | ... ... | ... ... | ... ...
14 | D#4 ... | G#4 ... | B-4 F05
15 | ... ... | ... ... | ... ...
16 | G#5 ... | G#2 ... | === F03
17 | ... ... | ... ... | ... ...
18 | === ... | C-4 220 | ... F05
19 | === ... | ... 220 | ... ...
1A | D#5 ... | === ... | ... F03
1B | === ... | === ... | ... ...
1C | D#4 ... | G#4 ... | B-4 F05
1D | ... ... | ... ... | ... ...
1E | === ... | G#3 ... | === F03
1F | ... ... | === ... | ... ...
20 | G#2 ... | F-3 220 | ... F05
21 | ... ... | C-1 320 | ... ...
22 | D#4 ... | G#4 ... | C#5 F03
23 | ... ... | ... ... | ... ...
24 | G#5 ... | G#2 208 | === F05
25 | === ... | G#1 ... | ... ...
26 | D#5 ... | ... ... | ... F03
27 | === ... | === ... | ... ...
28 | G#4 ... | C-4 220 | === F05
29 | === ... | ... 220 | ... ...
2A | D#4 ... | G#4 ... | C#5 F03
2B | ... ... | ... ... | ... ...
2C | F#5 ... | === ... | === F05
2D | === ... | ... ... | ... ...
2E | D#4 ... | G#4 ... | B-4 F03
2F | ... ... | ... ... | ... ...
30 | G#5 ... | F-3 220 | ... F05
31 | === ... | C-1 320 | === ...
32 | G#4 ... | === ... | ... F03
33 | ... ... | ... ... | ... ...
34 | D#4 ... | G#4 ... | B-4 F05
35 | ... ... | ... ... | ... ...
36 | G#5 ... | G#2 ... | === F03
37 | ... ... | ... ... | ... ...
38 | === ... | C-4 220 | ... F05
39 | ... ... | ... 220 | ... ...
3A | D#4 ... | G#4 ... | B-4 F03
3B | === ... | === ... | === ...
3C | D#4 ... | G#4 ... | B-4 F05
3D | ... ... | ... ... | ... ...
3E | G#5 ... | G#3 ... | === F03
3F | ... ... | === ... | ... ...

Order 06

00 | E-2 ... | F-3 220 | ... F05
01 | ... ... | C-1 320 | === ...
02 | D#4 ... | G#4 ... | B-4 F03
03 | ... ... | ... ... | ... ...
04 | G#5 ... | E-2 208 | === F05
05 | === ... | E-1 ... | ... ...
06 | D#5 ... | ... ... | ... F03
07 | === ... | === ... | ... ...
08 | G#4 ... | C-4 220 | ... F05
09 | === ... | ... 220 | === ...
0A | D#4 ... | G#4 ... | B-4 F03
0B | ... ... | ... ... | ... ...
0C | G#5 ... | === ... | === F05
0D | === ... | ... ... | ... ...
0E | D#4 ... | G#4 ... | B-4 F03
0F | ... ... | ... ... | ... ...
10 | D#5 ... | F-3 220 | === F05
11 | === ... | C-1 320 | ... ...
12 | G#4 ... | === ... | ... F03
13 | ... ... | ... ... | ... ...
14 | D#4 ... | G#4 ... | B-4 F05
15 | ... ... | ... ... | ... ...
16 | G#5 ... | E-2 ... | === F03
17 | ... ... | ... ... | ... ...
18 | === ... | C-4 220 | ... F05
19 | === ... | ... 220 | ... ...
1A | D#5 ... | === ... | ... F03
1B | === ... | === ... | ... ...
1C | D#4 ... | G#4 ... | B-4 F05
1D | ... ... | ... ... | ... ...
1E | === ... | E-3 ... | === F03
1F | ... ... | === ... | ... ...
20 | E-2 ... | F-3 220 | ... F05
21 | ... ... | C-1 320 | ... ...
22 | D#4 ... | G#4 ... | A#4 F03
23 | ... ... | ... ... | ... ...
24 | G#5 ... | E-2 208 | === F05
25 | === ... | E-1 ... | ... ...
26 | D#5 ... | ... ... | ... F03
27 | === ... | === ... | ... ...
28 | G#4 ... | C-4 220 | === F05
29 | === ... | ... 220 | ... ...
2A | D#4 ... | G#4 ... | A#4 F03
2B | ... ... | ... ... | ... ...
2C | F#5 ... | === ... | === F05
2D | === ... | ... ... | ... ...
2E | D#4 ... | G#4 ... | A#4 F03
2F | ... ... | ... ... | ... ...
30 | G#5 ... | F-3 220 | ... F05
31 | === ... | C-1 320 | === ...
32 | G#4 ... | === ... | ... F03
33 | ... ... | ... ... | ... ...
34 | D#4 ... | G#4 ... | A#4 F05
35 | ... ... | ... ... | ... ...
36 | G#5 ... | E-2 ... | === F03
37 | ... ... | ... ... | ... ...
38 | === ... | C-4 220 | ... F05
39 | ... ... | ... 220 | ... ...
3A | D#4 ... | G#4 ... | A#4 F03
3B | === ... | === ... | === ...
3C | D#4 ... | G#4 ... | A#4 F05
3D | ... ... | ... ... | ... ...
3E | === ... | E-3 ... | === F03
3F | ... ... | === ... | ... ...

Order 07

00 | C#2 ... | F-3 220 | ... F05
01 | ... ... | C-1 320 | === ...
02 | D#4 ... | G#4 ... | B-4 F03
03 | ... ... | ... ... | ... ...
04 | G#5 ... | C#2 208 | === F05
05 | === ... | C#1 ... | ... ...
06 | D#5 ... | ... ... | ... F03
07 | === ... | === ... | ... ...
08 | G#4 ... | C-4 220 | ... F05
09 | === ... | ... 220 | === ...
0A | D#4 ... | G#4 ... | B-4 F03
0B | ... ... | ... ... | ... ...
0C | G#5 ... | === ... | === F05
0D | === ... | ... ... | ... ...
0E | D#4 ... | G#4 ... | B-4 F03
0F | ... ... | ... ... | ... ...
10 | D#5 ... | F-3 220 | === F05
11 | === ... | C-1 320 | ... ...
12 | G#4 ... | === ... | ... F03
13 | ... ... | ... ... | ... ...
14 | D#4 ... | G#4 ... | B-4 F05
15 | ... ... | ... ... | ... ...
16 | G#5 ... | C#2 ... | === F03
17 | ... ... | ... ... | ... ...
18 | === ... | C-4 220 | ... F05
19 | === ... | ... 220 | ... ...
1A | D#5 ... | === ... | ... F03
1B | === ... | === ... | ... ...
1C | D#4 ... | G#4 ... | B-4 F05
1D | ... ... | ... ... | ... ...
1E | === ... | C#3 ... | === F03
1F | ... ... | === ... | ... ...
20 | C#2 ... | F-3 220 | ... F05
21 | ... ... | C-1 320 | ... ...
22 | D#4 ... | G#4 ... | A#4 F03
23 | ... ... | ... ... | ... ...
24 | G#5 ... | C#2 208 | === F05
25 | === ... | C#1 ... | ... ...
26 | D#5 ... | ... ... | ... F03
27 | === ... | === ... | ... ...
28 | G#4 ... | C-4 220 | === F05
29 | === ... | ... 220 | ... ...
2A | D#4 ... | G#4 ... | A#4 F03
2B | ... ... | ... ... | ... ...
2C | F#5 ... | === ... | === F05
2D | === ... | ... ... | ... ...
2E | D#4 ... | G#4 ... | A#4 F03
2F | ... ... | ... ... | ... ...
30 | G#5 ... | F-3 220 | ... F05
31 | === ... | C-1 320 | === ...
32 | G#4 ... | === ... | ... F03
33 | ... ... | ... ... | ... ...
34 | D#4 ... | G#4 ... | A#4 F05
35 | ... ... | ... ... | ... ...
36 | G#5 ... | C#2 ... | === F03
37 | ... ... | ... ... | ... ...
38 | === ... | C-4 220 | ... F05
39 | ... ... | ... 220 | ... ...
3A | D#4 ... | G#4 ... | A#4 F03
3B | === ... | === ... | === ...
3C | D#4 ... | G#4 ... | A#4 F05
3D | ... ... | ... ... | ... ...
3E | G#5 ... | C#3 ... | === F03
3F | ... ... | === ... | ... ...

Order 10

00 | G#2 ... | F-3 220 | ... F05
01 | ... ... | C-1 320 | === ...
02 | D#4 ... | G#4 ... | B-4 F03
03 | ... ... | ... ... | ... ...
04 | G#5 ... | G#2 208 | === F05
05 | === ... | G#1 ... | ... ...
06 | D#5 ... | ... ... | ... F03
07 | === ... | === ... | ... ...
08 | G#4 ... | C-4 220 | ... F05
09 | === ... | ... 220 | === ...
0A | D#4 ... | G#4 ... | B-4 F03
0B | ... ... | ... ... | ... ...
0C | G#5 ... | === ... | === F05
0D | === ... | ... ... | ... ...
0E | D#4 ... | G#4 ... | B-4 F03
0F | ... ... | ... ... | ... ...
10 | D#5 ... | F-3 220 | === F05
11 | === ... | C-1 320 | ... ...
12 | G#4 ... | === ... | ... F03
13 | ... ... | ... ... | ... ...
14 | D#4 ... | G#4 ... | B-4 F05
15 | ... ... | ... ... | ... ...
16 | G#5 ... | G#2 ... | === F03
17 | ... ... | ... ... | ... ...
18 | === ... | C-4 220 | ... F05
19 | === ... | ... 220 | ... ...
1A | D#5 ... | === ... | ... F03
1B | === ... | === ... | ... ...
1C | D#4 ... | G#4 ... | B-4 F05
1D | ... ... | ... ... | ... ...
1E | === ... | G#3 ... | === F03
1F | ... ... | === ... | ... ...
20 | G#2 ... | F-3 220 | ... F05
21 | ... ... | C-1 320 | ... ...
22 | D#4 ... | G#4 ... | A#4 F03
23 | ... ... | ... ... | ... ...
24 | G#5 ... | G#2 208 | === F05
25 | === ... | G#1 ... | ... ...
26 | D#5 ... | ... ... | ... F03
27 | === ... | === ... | ... ...
28 | G#4 ... | C-4 220 | === F05
29 | === ... | ... 220 | ... ...
2A | D#4 ... | G#4 ... | A#4 F03
2B | ... ... | ... ... | ... ...
2C | F#5 ... | === ... | === F05
2D | === ... | ... ... | ... ...
2E | D#4 ... | G#4 ... | A#4 F03
2F | ... ... | ... ... | ... ...
30 | G#5 F05 | C-4 220 | G#2 ...
31 | === ... | C-3 220 | G#1 308
32 | ... F03 | C-2 220 | ... 308
33 | ... ... | === ... | ... 308
34 | ... F05 | ... ... | === ...
35 | ... ... | ... ... | ... ...
36 | ... F03 | C-4 220 | G#2 ...
37 | ... ... | C-3 220 | G#1 308
38 | ... F05 | C-2 220 | ... 308
39 | ... ... | === ... | ... 308
3A | ... F03 | C-3 ... | === ...
3B | ... ... | === ... | ... ...
3C | D-4 F05 | C-4 220 | G#1 ...
3D | D#4 ... | C-3 220 | G#2 308
3E | E-4 F03 | C-2 220 | ... 308
3F | F-4 ... | === ... | ... 308

Order 08

00 | F#4 ... | F-3 210 | D#5 F05
01 | G#4 305 | C-1 320 | === ...
02 | ... 305 | G#2 ... | B-5 F03
03 | ... 305 | ... ... | === ...
04 | ... 305 | G#1 ... | G#5 F05
05 | ... 305 | ... ... | === ...
06 | G#4 442 | G#2 ... | D#5 F03
07 | ... 442 | G#1 ... | === ...
08 | ... 442 | C-4 220 | B-5 F05
09 | ... 442 | C-3 220 | === ...
0A | D#4 ... | G#4 ... | B-4 F03
0B | ... ... | ... ... | ... ...
0C | G#4 442 | G#2 ... | D#5 F05
0D | ... 442 | ... ... | === ...
0E | D#4 ... | G#4 ... | B-4 F03
0F | ... ... | ... ... | ... ...
10 | G#4 442 | F-3 210 | D#5 F05
11 | ... 442 | C-1 320 | === ...
12 | ... 442 | G#1 ... | A#5 F03
13 | ... 442 | ... ... | === ...
14 | F#4 ... | G#2 ... | G#5 F05
15 | ... ... | ... ... | === ...
16 | ... 442 | ... ... | D#5 F03
17 | ... 442 | G#1 ... | === ...
18 | D#5 ... | C-4 220 | A#5 F05
19 | ... ... | C-3 220 | === ...
1A | ... 442 | G#2 204 | G#5 F03
1B | ... 442 | G#1 304 | === ...
1C | F#5 320 | ... 304 | D#5 F05
1D | ... 320 | ... 304 | === ...
1E | F#5 442 | ... 310 | A#5 F03
1F | ... 442 | ... ... | === ...
20 | G#4 ... | F-3 210 | G#5 F05
21 | A#4 310 | C-1 320 | === ...
22 | ... 310 | G#2 ... | D#5 F03
23 | ... 310 | ... ... | === ...
24 | A#4 442 | G#1 ... | D#6 F05
25 | ... 442 | ... ... | === ...
26 | ... 442 | G#2 ... | G#5 F03
27 | ... 442 | G#1 ... | === ...
28 | ... 442 | C-4 220 | D#5 F05
29 | ... 442 | C-3 220 | === ...
2A | D#4 ... | G#4 ... | B-4 F03
2B | ... ... | ... ... | ... ...
2C | B-4 442 | G#2 ... | G#5 F05
2D | ... 442 | ... ... | === ...
2E | D#4 ... | G#4 ... | B-4 F03
2F | ... ... | ... ... | ... ...
30 | B-4 442 | F-3 210 | D#5 F05
31 | ... 442 | C-1 320 | === ...
32 | ... 442 | G#1 ... | C#6 F03
33 | ... 442 | ... ... | === ...
34 | C#5 ... | G#2 ... | G#5 F05
35 | ... ... | ... ... | === ...
36 | ... 442 | ... ... | D#5 F03
37 | ... 442 | G#1 ... | === ...
38 | ... 442 | C-4 220 | C#6 F05
39 | ... 442 | C-3 220 | === ...
3A | D#5 ... | G#2 ... | G#5 F03
3B | ... ... | ... ... | === ...
3C | ... 442 | G#3 308 | D#5 F05
3D | ... 442 | ... 308 | === ...
3E | ... 442 | G#2 308 | C#6 F03
3F | ... 442 | ... 308 | === ...

Order 09

00 | C#5 ... | F-3 210 | D#5 F05
01 | D#5 305 | C-1 320 | === ...
02 | ... 305 | E-2 ... | G#5 F03
03 | ... 305 | ... ... | === ...
04 | ... 305 | E-1 ... | F#6 F05
05 | ... 305 | ... ... | === ...
06 | D#5 442 | E-2 ... | G#5 F03
07 | ... 442 | G#1 ... | === ...
08 | ... 442 | C-4 220 | D#5 F05
09 | ... 442 | C-3 220 | === ...
0A | D#4 ... | G#4 ... | B-4 F03
0B | ... ... | ... ... | ... ...
0C | D#5 442 | E-2 ... | B-5 F05
0D | ... 442 | ... ... | === ...
0E | D#4 ... | G#4 ... | B-4 F03
0F | ... ... | ... ... | ... ...
10 | D#5 442 | F-3 210 | D#6 F05
11 | ... 442 | C-1 320 | === ...
12 | ... 442 | E-1 ... | G#5 F03
13 | ... 442 | ... ... | === ...
14 | G#4 ... | E-2 ... | F#6 F05
15 | ... ... | ... ... | === ...
16 | ... ... | ... ... | G#5 F03
17 | ... ... | E-1 ... | === ...
18 | D#5 ... | C-4 220 | B-5 F05
19 | ... ... | C-3 220 | === ...
1A | ... ... | E-2 204 | G#5 F03
1B | ... ... | E-1 304 | === ...
1C | F#5 ... | ... 304 | D#6 F05
1D | ... ... | ... 304 | === ...
1E | ... ... | ... 310 | G#5 F03
1F | ... ... | ... ... | === ...
20 | B-4 ... | F-3 210 | D#6 F05
21 | ... ... | C-1 320 | === ...
22 | ... ... | E-2 ... | G#5 F03
23 | ... ... | ... ... | === ...
24 | F#4 ... | E-1 ... | F#6 F05
25 | G#4 310 | ... ... | === ...
26 | ... 310 | E-2 ... | G#5 F03
27 | ... 310 | E-1 ... | === ...
28 | G#4 442 | C-4 220 | D#5 F05
29 | ... 442 | C-3 220 | === ...
2A | D#4 ... | G#4 ... | B-4 F03
2B | ... ... | ... ... | ... ...
2C | G#4 442 | E-2 ... | B-5 F05
2D | ... 442 | ... ... | === ...
2E | D#4 ... | G#4 ... | B-4 F03
2F | ... ... | ... ... | ... ...
30 | G#4 442 | F-3 210 | D#5 F05
31 | ... 442 | C-1 320 | === ...
32 | ... 442 | E-1 ... | G#5 F03
33 | ... 442 | ... ... | === ...
34 | ... 442 | E-2 ... | F#6 F05
35 | ... 442 | ... ... | === ...
36 | ... 442 | ... ... | G#5 F03
37 | ... 442 | E-1 ... | === ...
38 | ... 442 | C-4 220 | B-5 F05
39 | ... 442 | C-3 220 | === ...
3A | ... 442 | E-2 ... | G#5 F03
3B | ... 442 | ... ... | === ...
3C | ... 442 | E-4 210 | D#5 F05
3D | ... 442 | E-3 320 | === ...
3E | ... 442 | E-2 ... | G#5 F03
3F | ... 442 | ... ... | === ...

Order 0A

00 | D#5 ... | F-3 210 | D#5 F05
01 | === ... | C-1 320 | === ...
02 | G#4 ... | C#2 ... | B-5 F03
03 | === ... | ... ... | === ...
04 | F#5 ... | C#1 ... | G#5 F05
05 | === ... | ... ... | === ...
06 | G#4 ... | C#2 ... | D#5 F03
07 | === ... | C#1 ... | === ...
08 | D#5 ... | C-4 220 | B-5 F05
09 | === ... | C-3 220 | === ...
0A | D#4 ... | G#4 ... | B-4 F03
0B | ... ... | ... ... | ... ...
0C | B-4 ... | C#2 ... | D#5 F05
0D | === ... | ... ... | === ...
0E | D#4 ... | G#4 ... | B-4 F03
0F | ... ... | ... ... | ... ...
10 | D#5 ... | F-3 210 | D#5 F05
11 | === ... | C-1 320 | === ...
12 | G#4 ... | C#1 ... | A#5 F03
13 | === ... | ... ... | === ...
14 | F#5 ... | C#2 ... | G#5 F05
15 | === ... | ... ... | === ...
16 | G#4 ... | ... ... | D#5 F03
17 | === ... | C#1 ... | === ...
18 | D#5 ... | C-4 220 | A#5 F05
19 | === ... | C-3 220 | === ...
1A | G#4 ... | G#2 204 | G#5 F03
1B | === ... | G#1 304 | === ...
1C | B-4 ... | ... 304 | D#5 F05
1D | === ... | ... 304 | === ...
1E | G#4 ... | ... 310 | A#5 F03
1F | === ... | ... ... | === ...
20 | D#5 ... | F-3 210 | G#5 F05
21 | === ... | C-1 320 | === ...
22 | G#4 ... | C#2 ... | D#5 F03
23 | === ... | ... ... | === ...
24 | F#5 ... | C#1 ... | D#6 F05
25 | === ... | ... ... | === ...
26 | G#4 ... | C#2 ... | G#5 F03
27 | === ... | C#1 ... | === ...
28 | D#5 ... | C-4 220 | D#5 F05
29 | === ... | C-3 220 | === ...
2A | D#4 ... | G#4 ... | B-4 F03
2B | ... ... | ... ... | ... ...
2C | B-4 ... | C#2 ... | G#5 F05
2D | === ... | ... ... | === ...
2E | D#4 ... | G#4 ... | B-4 F03
2F | ... ... | ... ... | ... ...
30 | D#5 ... | F-3 210 | D#5 F05
31 | === ... | C-1 320 | === ...
32 | G#4 ... | C#1 ... | C#6 F03
33 | === ... | ... ... | === ...
34 | F#5 ... | C#2 ... | G#5 F05
35 | === ... | ... ... | === ...
36 | G#4 ... | ... ... | D#5 F03
37 | === ... | C#1 ... | === ...
38 | D#5 ... | C-4 220 | C#6 F05
39 | === ... | C-3 220 | === ...
3A | G#4 ... | G#2 ... | G#5 F03
3B | === ... | ... ... | === ...
3C | B-4 ... | C#2 110 | D#5 F05
3D | === ... | C#3 320 | === ...
3E | G#4 ... | C#4 ... | C#6 F03
3F | === ... | C#3 ... | === ...

Order 0B

00 | D#5 ... | F-3 210 | D#5 F05
01 | === ... | C-1 320 | === ...
02 | G#4 ... | G#2 ... | B-5 F03
03 | === ... | ... ... | === ...
04 | F#5 ... | G#1 ... | G#5 F05
05 | === ... | ... ... | === ...
06 | G#4 ... | G#2 ... | D#5 F03
07 | === ... | G#1 ... | === ...
08 | D#5 ... | C-4 220 | B-5 F05
09 | === ... | C-3 220 | === ...
0A | D#4 ... | G#4 ... | B-4 F03
0B | ... ... | ... ... | ... ...
0C | B-4 ... | G#2 ... | D#5 F05
0D | === ... | ... ... | === ...
0E | D#4 ... | G#4 ... | B-4 F03
0F | ... ... | ... ... | ... ...
10 | D#5 ... | F-3 210 | D#5 F05
11 | === ... | C-1 320 | === ...
12 | G#4 ... | G#1 ... | A#5 F03
13 | === ... | ... ... | === ...
14 | F#5 ... | G#2 ... | G#5 F05
15 | === ... | ... ... | === ...
16 | G#4 ... | ... ... | D#5 F03
17 | === ... | G#1 ... | === ...
18 | D#5 ... | C-4 220 | A#5 F05
19 | === ... | C-3 220 | === ...
1A | G#4 ... | G#2 204 | G#5 F03
1B | === ... | G#1 304 | === ...
1C | B-4 ... | ... 304 | D#5 F05
1D | === ... | ... 304 | === ...
1E | G#4 ... | ... 310 | A#5 F03
1F | === ... | ... ... | === ...
20 | D#5 ... | F-3 210 | G#5 F05
21 | === ... | C-1 320 | === ...
22 | G#4 ... | G#2 ... | D#5 F03
23 | === ... | ... ... | === ...
24 | F#5 ... | G#1 ... | D#6 F05
25 | === ... | ... ... | === ...
26 | G#4 ... | G#2 ... | G#5 F03
27 | === ... | G#1 ... | === ...
28 | D#5 ... | C-4 220 | D#5 F05
29 | === ... | C-3 220 | === ...
2A | D#4 ... | G#4 ... | B-4 F03
2B | ... ... | ... ... | ... ...
2C | B-4 ... | G#2 ... | G#5 F05
2D | === ... | ... ... | === ...
2E | D#4 ... | G#4 ... | B-4 F03
2F | ... ... | ... ... | ... ...
30 | D#5 ... | F-3 210 | D#5 F05
31 | === ... | C-1 320 | === ...
32 | G#4 ... | G#1 ... | C#6 F03
33 | === ... | ... ... | === ...
34 | F#5 ... | G#2 ... | G#5 F05
35 | === ... | ... ... | === ...
36 | G#4 ... | ... ... | D#5 F03
37 | === ... | G#1 ... | === ...
38 | D#5 ... | C-4 220 | C#6 F05
39 | === ... | C-3 220 | === ...
3A | G#4 ... | G#2 ... | G#5 F03
3B | === ... | ... ... | === ...
3C | B-4 ... | G#2 110 | D#5 F05
3D | === ... | G#3 320 | === ...
3E | G#4 ... | G#4 ... | C#6 F03
3F | === ... | G#3 ... | === ...

Order 0C

00 | F#4 ... | F-3 210 | D#5 F05
01 | G#4 305 | C-1 320 | === ...
02 | ... 305 | G#2 ... | B-5 F03
03 | ... 305 | ... ... | === ...
04 | ... 305 | G#1 ... | G#5 F05
05 | ... 305 | ... ... | === ...
06 | G#4 442 | G#2 ... | D#5 F03
07 | ... 442 | G#1 ... | === ...
08 | ... 442 | C-4 220 | B-5 F05
09 | ... 442 | C-3 220 | === ...
0A | D#4 ... | G#4 ... | B-4 F03
0B | ... ... | ... ... | ... ...
0C | G#4 442 | G#2 ... | D#5 F05
0D | ... 442 | ... ... | === ...
0E | D#4 ... | G#4 ... | B-4 F03
0F | ... ... | ... ... | ... ...
10 | G#4 442 | F-3 210 | D#5 F05
11 | ... 442 | C-1 320 | === ...
12 | ... 442 | G#1 ... | A#5 F03
13 | ... 442 | ... ... | === ...
14 | F#4 ... | G#2 ... | G#5 F05
15 | ... ... | ... ... | === ...
16 | ... 442 | ... ... | D#5 F03
17 | ... 442 | G#1 ... | === ...
18 | D#5 ... | C-4 220 | A#5 F05
19 | ... ... | C-3 220 | === ...
1A | ... 442 | G#2 204 | G#5 F03
1B | ... 442 | G#1 304 | === ...
1C | F#5 320 | ... 304 | D#5 F05
1D | ... 320 | ... 304 | === ...
1E | F#5 442 | ... 310 | A#5 F03
1F | ... 442 | ... ... | === ...
20 | G#4 ... | F-3 210 | G#5 F05
21 | A#4 310 | C-1 320 | === ...
22 | ... 310 | G#2 ... | D#5 F03
23 | ... 310 | ... ... | === ...
24 | B-4 442 | G#1 ... | D#6 F05
25 | ... 442 | ... ... | === ...
26 | ... 442 | G#2 ... | G#5 F03
27 | ... 442 | G#1 ... | === ...
28 | ... 442 | C-4 220 | D#5 F05
29 | ... 442 | C-3 220 | === ...
2A | D#4 ... | G#4 ... | B-4 F03
2B | ... ... | ... ... | ... ...
2C | B-4 442 | G#2 ... | G#5 F05
2D | ... 442 | ... ... | === ...
2E | D#4 ... | G#4 ... | B-4 F03
2F | ... ... | ... ... | ... ...
30 | B-4 442 | F-3 210 | D#5 F05
31 | ... 442 | C-1 320 | === ...
32 | ... 442 | G#1 ... | C#6 F03
33 | ... 442 | ... ... | === ...
34 | G#4 ... | G#2 ... | G#5 F05
35 | ... ... | ... ... | === ...
36 | A#4 442 | ... ... | D#5 F03
37 | ... 442 | G#1 ... | === ...
38 | B-4 442 | C-4 220 | C#6 F05
39 | ... 442 | C-3 220 | === ...
3A | A#4 ... | G#2 ... | G#5 F03
3B | ... ... | ... ... | === ...
3C | F#4 442 | G#3 308 | D#5 F05
3D | ... 442 | ... 308 | === ...
3E | D#4 442 | G#2 308 | C#6 F03
3F | ... 442 | ... 308 | === ...

Order 0D

00 | F#4 ... | F-3 210 | D#5 F05
01 | G#4 305 | C-1 320 | === ...
02 | ... 305 | E-2 ... | G#5 F03
03 | ... 305 | ... ... | === ...
04 | ... 305 | E-1 ... | F#6 F05
05 | ... 305 | ... ... | === ...
06 | G#4 442 | E-2 ... | G#5 F03
07 | ... 442 | G#1 ... | === ...
08 | ... 442 | C-4 220 | D#5 F05
09 | ... 442 | C-3 220 | === ...
0A | D#4 ... | G#4 ... | B-4 F03
0B | ... ... | ... ... | ... ...
0C | G#4 442 | E-2 ... | B-5 F05
0D | ... 442 | ... ... | === ...
0E | D#4 ... | G#4 ... | B-4 F03
0F | ... ... | ... ... | ... ...
10 | G#4 442 | F-3 210 | D#6 F05
11 | ... 442 | C-1 320 | === ...
12 | ... 442 | E-1 ... | G#5 F03
13 | ... 442 | ... ... | === ...
14 | F#4 ... | E-2 ... | F#6 F05
15 | ... ... | ... ... | === ...
16 | ... ... | ... ... | G#5 F03
17 | ... ... | E-1 ... | === ...
18 | D#5 ... | C-4 220 | B-5 F05
19 | ... ... | C-3 220 | === ...
1A | ... ... | E-2 204 | G#5 F03
1B | ... ... | E-1 304 | === ...
1C | F#5 ... | ... 304 | D#6 F05
1D | ... ... | ... 304 | === ...
1E | ... ... | ... 310 | G#5 F03
1F | ... ... | ... ... | === ...
20 | F#5 ... | F-3 210 | D#6 F05
21 | G#5 310 | C-1 320 | === ...
22 | ... 310 | E-2 ... | G#5 F03
23 | ... 310 | ... ... | === ...
24 | F#5 ... | E-1 ... | F#6 F05
25 | ... 442 | ... ... | === ...
26 | ... 442 | E-2 ... | G#5 F03
27 | ... 442 | E-1 ... | === ...
28 | ... 442 | C-4 220 | D#5 F05
29 | ... 442 | C-3 220 | === ...
2A | D#4 ... | G#4 ... | B-4 F03
2B | ... ... | ... ... | ... ...
2C | F#5 442 | E-2 ... | B-5 F05
2D | ... 442 | ... ... | === ...
2E | D#4 ... | G#4 ... | B-4 F03
2F | ... ... | ... ... | ... ...
30 | F#5 442 | F-3 210 | D#5 F05
31 | ... 442 | C-1 320 | === ...
32 | ... 442 | E-1 ... | G#5 F03
33 | ... 442 | ... ... | === ...
34 | G#5 ... | E-2 ... | F#6 F05
35 | ... ... | ... ... | === ...
36 | ... 442 | ... ... | G#5 F03
37 | ... 442 | E-1 ... | === ...
38 | F#5 442 | C-4 220 | B-5 F05
39 | ... 442 | C-3 220 | === ...
3A | ... 442 | E-2 ... | G#5 F03
3B | ... 442 | ... ... | === ...
3C | D#5 442 | E-4 210 | D#5 F05
3D | ... 442 | E-3 320 | === ...
3E | C#5 442 | E-2 ... | G#5 F03
3F | ... 442 | ... ... | === ...

Order 0E

00 | C#5 ... | F-3 210 | D#5 F05
01 | D#5 305 | C-1 320 | === ...
02 | ... 305 | C#2 ... | B-5 F03
03 | ... 305 | ... ... | === ...
04 | ... 305 | C#1 ... | G#5 F05
05 | ... 305 | ... ... | === ...
06 | D#5 442 | C#2 ... | D#5 F03
07 | ... 442 | C#1 ... | === ...
08 | ... 442 | C-4 220 | B-5 F05
09 | ... 442 | C-3 220 | === ...
0A | D#4 ... | G#4 ... | B-4 F03
0B | ... ... | ... ... | ... ...
0C | D#5 442 | C#2 ... | D#5 F05
0D | ... 442 | ... ... | === ...
0E | D#4 ... | G#4 ... | B-4 F03
0F | ... ... | ... ... | ... ...
10 | D#5 442 | F-3 210 | D#5 F05
11 | ... 442 | C-1 320 | === ...
12 | G#4 ... | C#1 ... | A#5 F03
13 | ... ... | ... ... | === ...
14 | A#4 ... | C#2 ... | G#5 F05
15 | ... ... | ... ... | === ...
16 | B-4 ... | ... ... | D#5 F03
17 | ... ... | C#1 ... | === ...
18 | D#5 ... | C-4 220 | A#5 F05
19 | ... ... | C-3 220 | === ...
1A | G#4 ... | G#2 204 | G#5 F03
1B | ... ... | G#1 304 | === ...
1C | A#4 ... | ... 304 | D#5 F05
1D | ... ... | ... 304 | === ...
1E | B-4 ... | ... 310 | A#5 F03
1F | ... ... | ... ... | === ...
20 | F#5 ... | F-3 210 | G#5 F05
21 | ... ... | C-1 320 | === ...
22 | ... 442 | C#2 ... | D#5 F03
23 | ... 442 | ... ... | === ...
